metric,label,unit,n,mean,std,min,max
val_theta_mae,Theta MAE,,5,0.00829573294147849,0.0043201927188301036,0.005813055392354727,0.015949877351522444
val_v_mae,V MAE,p.u.,5,0.00556689728051424,0.0012459812050003092,0.00442144563421607,0.0074219542555511
val_loss_total,Validation loss,,5,0.007766798324882984,0.001825902692977616,0.006098543014377356,0.009809230268001557
val_pg_mae,Pg MAE,MW,5,3.2477886006236076,0.15211764053026836,3.074828088283539,3.4248624742031093
val_qg_mae,Qg MAE,MVAr,5,3.3172449693083763,0.08681076570814958,3.208722546696663,3.4312742203474045
val_branch_p_mae,Branch P MAE,MW,5,1.4060355573892593,0.18015858567576248,1.2339987233281136,1.6952547803521159
val_branch_q_mae,Branch Q MAE,MVAr,5,1.3758791349828243,0.15572082510841054,1.1914625763893127,1.5473681315779686
val_kcl_p_mae,KCL P MAE,MW,5,1.3008156642317772,0.4013012730632913,0.9589408151805401,1.7475105822086334
val_kcl_q_mae,KCL Q MAE,MVAr,5,1.374659214168787,0.35765589097536743,0.9937948547303677,1.840356960892677
val_balance_p_mae,Balance P MAE,MW,5,3.0652232691645622,1.5244523760739597,1.5326226875185966,5.602828934788704
val_balance_q_mae,Balance Q MAE,MVAr,5,2.841114766895771,1.4299031462189349,1.4619481563568115,5.245557501912117
val_cost_mape,Cost MAPE,%,5,5.6194760501384735,0.7061502338094843,4.771016165614128,6.339735686779021
